date,committee,question,project,responsible,attendees,theme
2025-06-30,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,"Teisės departamento (2025-06-26) išvada Investicijų įstatymo Nr. VIII-1312 2, 12, 13, 13-1 straipsnių, ketvirtojo-2 skirsnio pakeitimo ir Įstatymo papildymo 13-2 straipsniu įstatymo projektui Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos, VšĮ Investuok Lietuvoje atstovai​",VIII-1312,J.  RojakaA.  BagdonasL.  Jasiukėnienė,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,Pagrindinis (pasiūlymų svarstymas),"Teisės departamento (2025-06-26) išvada Teritorijų planavimo įstatymo Nr. I-1120 1, 2 ir 23 straipsnių pakeitimo įstatymo projektuiKviečiami dalyvauti:​Ekonomikos ir inovacijų ministerijos, VšĮ Investuok Lietuvoje atstovai​",,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,Pagrindinis (pasiūlymų svarstymas),"Teisės departamento (2025-06-26) išvada Žemės įstatymo Nr. I-446 2, 7, 8, 13-1, 23, 37, 42 ir 45 straipsnių pakeitimo įstatymo projektuiKviečiami dalyvauti:​Ekonomikos ir inovacijų ministerijos, VšĮ Investuok Lietuvoje atstovai​",,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,Pagrindinis (pasiūlymų svarstymas),"Teisės departamento (2025-06-26) išvada Statybos įstatymo Nr. I-1240 27 ir 27-2 straipsnių pakeitimo įstatymo projektuiKviečiami dalyvauti:​Ekonomikos ir inovacijų ministerijos, VšĮ Investuok Lietuvoje atstovai​",,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,"Teisės departamento (2025-06-26) išvada Akcinių bendrovių įstatymo Nr. VIII-1835 2, 15, 17, 19, 20, 24, 26, 26-1, 26-2, 28, 31, 32, 33, 34, 38, 39, 42, 45-1, 45-2, 46-1, 49, 51, 52, 53-1, 54, 55, 56, 57, 58, 59, 60, 60-1, 74, 76, 77 ir 78 straipsnių pakeitimo ir Įstatymo papildymo 42-1 straipsniu įstatymo projektui Kviečiami dalyvauti: ​Ekonomikos ir inovacijų ministerijos atstovai​",VIII-1835,A.  NorkienėR.  KaunasD.  Šaltmeris,,Economic competitiveness and state information resources
2025-06-30,Ekonomikos komitetas,"Seimo narių J. Rojakos ir T. Tomilino (2025-06-25) pasiūlymas Seimo kontrolierių įstatymo Nr. VIII-950 2, 7, 12, 13, 24 ir 28 straipsnių pakeitimo įstatymo projektui",VIII-950,B.  VėsaitėJ.  RojakaV.  FiodorovasI.  Jurkšuvienė,,"State governance, regional policy and public administration"
2025-06-30,Ekonomikos komitetas,"Teisės departamento (2025-06-26) išvada Geležinkelių transporto kodekso 1, 3, 7-1, 9, 10-1, 12, 15, 19, 22, 23, 23-1, 24, 24-1, 25, 25-2, 29-8, 30-1, 30-2, 30-3, 30-4, 33, 34 straipsnių, ketvirtojo skirsnio pavadinimo, priedo pakeitimo, Kodekso papildymo 25-4, 30-5 straipsniais, aštuntuoju skirsniu ir penktojo skirsnio pripažinimo netekusiu galios įstatymo projektui Kviečiami dalyvauti: ​",XVP-397(2),I.  GelažnikienėA.  BagdonasD.  Šaltmeris,,Transportation and communications
2025-06-30,Ekonomikos komitetas,Kiti klausimai,,S.  BucevičiusR.  Danė,,"State governance, regional policy and public administration"
2025-06-25,Ekonomikos komitetas,Posėdžio darbotvarkės tvirtinimas,,S.  BucevičiusR.  Danė,,"State governance, regional policy and public administration"
2025-06-25,Ekonomikos komitetas,"Atitikties vertinimo įstatymo Nr. VIII-870 6, 15, 17, 18 straipsnių ir III skyriaus pakeitimo įstatymo projektas Kviečiami dalyvauti: ​Ekonomikos ministerijos atstovai",VIII-870,S.  BucevičiusA.  BagdonasI.  Jurkšuvienė,,Economic competitiveness and state information resources
