date,committee,question,project,responsible,attendees
2025-06-11,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-11,Sveikatos reikalų komitetas,Sveikatos draudimo įstatymo Nr. I-1343 6 straipsnio pakeitimo įstatymo projektas,I-1343,O.  LeiputėJ.  SejonienėK.  Civilkienė,
2025-06-11,Sveikatos reikalų komitetas,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-06-11,Sveikatos reikalų komitetas,Sveikatos apsaugos ministerijos informacija dėl pacientų pavėžėjimo paslaugų organizavimo,,O.  LeiputėJ.  SejonienėK.  Civilkienė,
2025-06-11,Sveikatos reikalų komitetas,Dėl naujos sudėties Nacionalinės sveikatos tarybos formavimo,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-06-11,Sveikatos reikalų komitetas,"Tabako, tabako gaminių ir su jais susijusių gaminių kontrolės įstatymo Nr. I-1143 8-5, 9, 9-3, 9-4, 9-9, 9-10 , 9-11, 17 ir 26 straipsnių pakeitimo įstatymo projektas",I-1143,E.  Jankauskas,
2025-06-11,Sveikatos reikalų komitetas,"Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo nustatoma ypatingos svarbos vaistų prieinamumo ir tiekimo saugumo stiprinimo, taip pat bendro intereso vaistų prieinamumo bei galimybių jų gauti gerinimo sistema ir iš dalies keičiamas Reglamentas (ES) 2024/795  ( uždaras )","ES-2025-23, COM/2025/102",S.  ČaplinskasB.  Sesickienė,
2025-06-11,Sveikatos reikalų komitetas,Kiti klausimai. Dėl kito Komiteto posėdžio,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-04,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-06-04,Sveikatos reikalų komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,L.  Šukytė-KorsakėA.  BusilaK.  Civilkienė,
2025-06-04,Sveikatos reikalų komitetas,Sveikatos apsaugos ministerijos informacija dėl numatomų priemonių asmens sveikatos priežiūros paslaugų laukimo eilėms mažinti ir sveikatos priežiūros paslaugų prieinamumui didinti,,L.  Šukytė-KorsakėJ.  SejonienėK.  Civilkienė,
2025-06-04,Sveikatos reikalų komitetas,Komiteto sprendimas dėl Nacionalinės imunoprofilaktikos 2024-2028 metų programos įgyvendinimo,,S.  ČaplinskasR. J.  JankūnasE.  Jankauskas,
2025-06-04,Sveikatos reikalų komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų Privalomojo sveikatos draudimo fondo metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-445,K.  Civilkienė,
2025-06-04,Sveikatos reikalų komitetas,Kiti klausimai. Dėl kito Komiteto posėdžio,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-28,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-Korsakė,
2025-05-28,Sveikatos reikalų komitetas,"Akcizų įstatymo Nr. IX-569 1, 2, 3 straipsnių pakeitimo ir II skyriaus papildymo devintuoju skirsniu įstatymo projektas",IX-569,L.  Šukytė-KorsakėJ.  ŠuklinE.  Jankauskas,
2025-05-21,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-21,Sveikatos reikalų komitetas,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-05-21,Sveikatos reikalų komitetas,Sveikatos apsaugos ministerijos ir Šiaulių ligoninės informacija apie situaciją ligoninėje (SRK 2024-02-14 sprendimo Nr. 111-S-1 „Dėl Seimo Sveikatos reikalų komiteto išvažiuojamojo posėdžio į Šiaulių apskritį“ įgyvendinimas),111-S-1,L.  Šukytė-KorsakėJ.  ŠuklinK.  Civilkienė,
2025-05-21,Sveikatos reikalų komitetas,Komiteto sprendimas dėl savivaldybių visuomenės sveikatos biurų veiklos problemų,,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-05-21,Sveikatos reikalų komitetas,Reprodukcinės sveikatos įstatymo projektas,XVP-286,B.  Sesickienė,
2025-05-21,Sveikatos reikalų komitetas,Kiti klausimai. Dėl kito Komiteto posėdžio,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-21,Sveikatos reikalų komitetas,Farmacijos įstatymo Nr. X-709 2 ir 35 straipsnių pakeitimo įstatymo projektas,X-709,O.  LeiputėJ.  ŠuklinV.  Valainytė,
2025-05-14,Sveikatos reikalų komitetas,"Susitikimas su Druskininkų savivaldybės, savivaldybės administracijos, ligoninės, pirminės sveikatos priežiūros centro ir visuomenės sveikatos biuro vadovais ​Vilniaus al. 18, Druskininkai",,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,Sveikatos reikalų komitetas,"Pietų pertrauka ​Vilniaus al. 13, Druskininkai",,,
2025-05-14,Sveikatos reikalų komitetas,"Apsilankymas Druskininkų gydykloje ​Vilniaus al. 11, Druskininkai",,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,Sveikatos reikalų komitetas,"Apsilankymas VUL Santaros klinikų vaikų reabilitacijos skyriuje Druskininkų ""Saulutė"" ​Vytauto g. 2, Druskininkai",,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-14,Sveikatos reikalų komitetas,"Apsilankymas Druskininkų ligoninėje ​Sveikatos g. 30, Druskininkai",,L.  Šukytė-KorsakėL.  UrmanavičiusR. J.  JankūnasJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-05-07,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-07,Sveikatos reikalų komitetas,2025 m. kovo 5 d. Valstybės kontrolės Rekomendacijų įgyvendinimo ataskaita Nr. RAE-4,RAE-4,A.  BusilaJ.  SejonienėB.  Sesickienė,
2025-05-07,Sveikatos reikalų komitetas,Sveikatos apsaugos ministerijos informacija apie Nacionalinės imunoprofilaktikos 2024-2028 metų programos įgyvendinimą,,S.  ČaplinskasR. J.  JankūnasE.  Jankauskas,
2025-05-07,Sveikatos reikalų komitetas,Sveikatos draudimo įstatymo Nr. I-1343 8 straipsnio pakeitimo įstatymo projektas,I-1343,K.  Civilkienė,
2025-05-07,Sveikatos reikalų komitetas,"Pagalbinio apvaisinimo įstatymo Nr. XII-2608 1, 3, 5, 7, 9 ir 10 straipsnių pakeitimo įstatymo projektas",XII-2608,V.  Valainytė,
2025-05-07,Sveikatos reikalų komitetas,Kiti klausimai. Dėl kito Komiteto posėdžio,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-05-07,Sveikatos reikalų komitetas,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-04-30,Sveikatos reikalų komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-04-30,Sveikatos reikalų komitetas,Sveikatos priežiūros įstaigų įstatymo Nr. I-1367 15 straipsnio pakeitimo įstatymo projektas,I-1367,O.  LeiputėJ.  SejonienėV.  Valainytė,
2025-04-30,Sveikatos reikalų komitetas,Sveikatos apsaugos ministerijos informacija dėl psichikos sveikatos priežiūros paslaugų prieinamumo ir finansavimo iš Privalomojo sveikatos draudimo fondo lėšų,,A.  BusilaJ.  SejonienėB.  Sesickienė,
2025-04-30,Sveikatos reikalų komitetas,"Dėl savivaldybių visuomenės sveikatos biurų veiklos rezultatų ir problemų, su kuriomis susiduriama (finansavimas, žmogiškieji ištekliai, ataskaitos, metodologinis veiklos koordinavimas ir kt.)",,S.  ČaplinskasJ.  ŠuklinE.  Jankauskas,
2025-04-30,Sveikatos reikalų komitetas,Kiti klausimai. Dėl kito Komiteto posėdžio,,L.  Šukytė-KorsakėJ.  Bandzienė,
2025-04-23,Sveikatos reikalų komitetas,"Sveikatos apsaugos ministerijos ir Klaipėdos universiteto ligoninės informacija apie Klaipėdos universiteto ligoninės 2024 m. finansinę situaciją, veiklą ir 2025 m. planus",,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Sveikatos reikalų komitetas,Susitikimas su Klaipėdos universiteto ligoninės darbuotojais,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Sveikatos reikalų komitetas,Apsilankymas Klaipėdos universiteto ligoninėje,,L.  Šukytė-KorsakėA.  BusilaJ.  SejonienėJ.  ŠuklinJ.  BandzienėK.  CivilkienėD.  Žukauskė,
2025-04-23,Sveikatos reikalų komitetas,Pietų pertrauka,,,
