date,committee,question,project,responsible,attendees
2025-06-11,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Valstybinio socialinio draudimo įstatymo Nr. I-1336 32 straipsnio pakeitimo ir Įstatymo papildymo 40-1 straipsniu įstatymo projektas,I-1336,L.  KukuraitisP.  KuzmickienėD.  Jonėnienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Socialinės paramos mokiniams įstatymo Nr. X-686 5 straipsnio pakeitimo įstatymo projektas,X-686,D.  RazmislevičiusE.  RudelienėA.  Kazlauskienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Dėl Valstybės vaiko teisių apsaugos ir įvaikinimo tarnybos prie Socialinės apsaugos ir darbo ministerijos 2024 m. veiklos ataskaitos ir dėl vaiko teisių apsaugos kontrolieriaus 2024 m. veiklos ataskaitos,,L.  KukuraitisA.  Kazlauskienė,
2025-06-11,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-28,Socialinių reikalų ir darbo komitetas,Pasiūlymas EUROPOS PARLAMENTO IR TARYBOS REGLAMENTAS kuriuo dėl paramos netrukus atleisimiems restruktūrizuojamų įmonių darbuotojams iš dalies keičiamas Reglamentas (ES) 2021/691,"ES-2025-45, COM/2025/140",D.  Aleksejūnienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,"Policijos rėmėjų įstatymo Nr. VIII-800 7, 11 ir 17 straipsnių pakeitimo įstatymo projektas",VIII-800,J.  ZailskienėE.  RudelienėI.  Kuodienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Seimo nutarimo „Dėl Lietuvos Respublikos 2024 metų valstybės metinių ataskaitų rinkinio patvirtinimo“ projektas,XVP-453,M.  PetrauskaitėA.  ValinskasD.  Aleksejūnienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Vaiko teisių apsaugos pagrindų įstatymo Nr. I-1234 30 ir 36-4 straipsnių pakeitimo įstatymo projektas,I-1234,L.  KukuraitisP.  KuzmickienėA.  Kazlauskienė,
2025-06-04,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-06-13,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Papildomas (svarstymas),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 6, 8, 13, 15, 22, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-10 ir 37 straipsnių pakeitimo ir Įstatymo priedo pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 6, 8 straipsnių ir priedo pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 3, 4, 5, 7, 29, 30 ir 31 straipsnių pakeitimo įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),"Pensijų kaupimo įstatymo Nr. IX-1691 4, 5, 6, 22, 29, 30, 32, 33 straipsnių pakeitimo ir papildymo 5-1 straipsniu įstatymo projektas",,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Pensijų kaupimo įstatymo Nr. IX-1691 5 ir 6 straipsnių pakeitimo įstatymo projektas,,
2025-06-13,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
2025-05-23,Socialinių reikalų ir darbo komitetas,"Pensijų kaupimo įstatymo Nr. IX-1691 1, 3, 4, 5, 7, 8, 10, 12, 13, 15, 22, 24, 28, 29, 30, 33, 35-1, 35-2, 35-7, 35-8, 35-9, 35-10, 36, 37 ir 40 straipsnių ir V skyriaus pavadinimo pakeitimo, Įstatymo papildymo 29-1 straipsniu ir 6 straipsnio bei Įstatymo priedo pripažinimo netekusiais galios įstatymo projektas",IX-1691,J.  ZailskienėP.  KuzmickienėD.  Jonėnienė,
2025-05-23,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Civilinio proceso kodekso 739 straipsnio pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),Socialinio draudimo pensijų įstatymo Nr. I-549 11 ir 12 straipsnių pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),"Valstybinio socialinio draudimo įstatymo Nr. I-1336 7, 15 ir 39 straipsnių pakeitimo įstatymo projektas",,
2025-05-23,Socialinių reikalų ir darbo komitetas,Pagrindinis (klausymai),Piniginės socialinės paramos nepasiturintiems gyventojams įstatymo Nr. IX-1675 14 ir 17 straipsnių pakeitimo įstatymo projektas,,
2025-05-23,Socialinių reikalų ir darbo komitetas,Papildomas (klausymai),Gyventojų pajamų mokesčio įstatymo Nr. IX-1007 17 ir 21 straipsnių pakeitimo įstatymo projektas,,
2025-05-21,Socialinių reikalų ir darbo komitetas,Posėdžio darbotvarkės tvirtinimas,,L.  KukuraitisI.  Kuodienė,
2025-05-21,Socialinių reikalų ir darbo komitetas,Darbo kodekso 123 straipsnio pakeitimo įstatymo projektas,XVP-97,D.  RazmislevičiusD.  UlbinaitėE.  Bulotaitė,
2025-05-21,Socialinių reikalų ir darbo komitetas,Pagrindinis (svarstymas),Atmintinų dienų įstatymo Nr. VIII-397 1 straipsnio pakeitimo įstatymo projektas,,
2025-05-21,Socialinių reikalų ir darbo komitetas,Biudžetinių įstaigų darbuotojų darbo apmokėjimo ir komisijų narių atlygio už darbą įstatymo Nr. XIII-198 2 priedo pakeitimo įstatymo projektas,XIII-198,L.  KukuraitisP.  KuzmickienėI.  Kuodienė,
2025-05-21,Socialinių reikalų ir darbo komitetas,Dėl Nacionalinės šeimos tarybos 2024 m. veiklos ataskaitos ir tarybos parengto metinio pranešimo,,L.  KukuraitisA.  Kazlauskienė,
2025-05-21,Socialinių reikalų ir darbo komitetas,"Finansinės paskatos pirmąjį būstą įsigyjančioms jaunoms šeimoms įstatymo Nr. XIII-1281 3, 5, 6 ir 9 straipsnių pakeitimo įstatymo projektas",XIII-1281,,
2025-05-21,Socialinių reikalų ir darbo komitetas,Kiti klausimai,,L.  KukuraitisI.  Kuodienė,
