date,question,committee,project_id,responsible_actor,invited_presenters
2025-05-28,"Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Transporto, telekomunikacijų, energetikos tarybos 2025 m. birželio 5–6 d. posėdį (transporto, telekomunikacijų kl.)  (",Europos reikalų komitetas,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Kviečiami dalyvauti:,Europos reikalų komitetas,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Susisiekimo ministras Eugenijus Sabutis,Europos reikalų komitetas,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Ekonomikos ir inovacijų ministerijos atstovai,Europos reikalų komitetas,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,Krašto apsaugos ministerijos atstovai​,Europos reikalų komitetas,,R.  ŠukysD.  KreivysE.  Kolelė,
2025-05-28,"Ministro ataskaita apie Europos Sąjungos Konkurencingumo tarybos posėdį,  vykusį 2025 m. gegužės 22–23 d. (vidaus rinkos, pramonės, mokslinių tyrimų ir kosmoso klausimai)  (",Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,Kviečiami dalyvauti:,Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,Ekonomikos ir inovacijų ministras Lukas Savickas,Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė ​",Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-28,"Ministro ataskaita apie Europos Sąjungos Žemės ūkio ir žuvininkystės tarybos posėdį, vykusį 2025 m. gegužės 26 d.  (",Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Kviečiami dalyvauti:,Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Žemės ūkio ministras Ignas Hofmanas,Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-28,Posėdžio darbotvarkės tvirtinimas,Europos reikalų komitetas,,R.  BudbergytėD.  Asevičienė,
2025-05-28,"Ministro ataskaita apie  Europos Sąjungos Bendrųjų reikalų tarybos posėdį, vykusį 2025 m. balandžio 27 d. (",Europos reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Kviečiami dalyvauti:,Europos reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-28,Užsienio reikalų ministras Kęstutis Budrys,Europos reikalų komitetas,,R.  BaranovasA.  LydekaM.  Lukoševičius,
2025-05-21,2021-2027 m. ES fondų investicijų programos įgyvendinimas,Europos reikalų komitetas,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Finansų ministras Rimantas Šadžius,Europos reikalų komitetas,,L.  BalsysD.  KreivysA.  Pikiotienė,
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Žemės ūkio ir žuvininkystės tarybos 2025 m. gegužės 26 d. posėdį  (,Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,Žemės ūkio ministras Ignas Hofmanas,Europos reikalų komitetas,,T.  TomilinasK.  StarkevičiusD.  Paužaitė-Šliachtovič,
2025-05-21,"Lietuvos Respublikos pozicijų pristatymas prieš vykstant į Europos Sąjungos Konkurencingumo tarybos 2025 m. gegužės 22–23 d. posėdį (vidaus rinkos, pramonės, mokslinių tyrimų ir kosmoso klausimai) (",Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Ekonomikos ir inovacijų ministras Lukas Savickas,Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,"Švietimo, mokslo ir sporto ministrė Raminta Popovienė ​",Europos reikalų komitetas,,L.  BalsysR.  Morkūnaitė-MikulėnienėD.  Paužaitė-Šliachtovič,
2025-05-21,Posėdžio darbotvarkės tvirtinimas,Europos reikalų komitetas,,R.  BudbergytėD.  Asevičienė,
2025-05-21,Lietuvos Respublikos pozicijų pristatymas prieš vykstant į  Europos Sąjungos Bendrųjų reikalų tarybos 2025 m. gegužės 27 d. posėdį (,Europos reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Užsienio reikalų ministras Kęstutis Budrys,Europos reikalų komitetas,,R.  MotuzasV.  Čmilytė-NielsenM.  Lukoševičius,
2025-05-21,Būsima vidaus rinkos strategija ir ES konkurencingumo didinimas  (,Europos reikalų komitetas,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Kviečiami dalyvauti:,Europos reikalų komitetas,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Finansų viceministras Kristupas Vaitiekunas,Europos reikalų komitetas,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
2025-05-21,Ekonomikos ir inovacijų viceministrė Agila Barzdienė​,Europos reikalų komitetas,,R.  BaranovasI.  ŠimonytėT.  TomilinasL.  BalsysJ.  ŠukevičienėV.  Čmilytė-NielsenR.  Morkūnaitė-MikulėnienėV.  ĄžuolasK.  NeimantasE.  ZingerisA.  AžubalisM.  Lukoševičius,
